url_len,url_num_hyphens_dom,url_path_len,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_port,html_num_tags('iframe'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('form'),html_num_tags('a')
33.0,2.0,0.0,33.0,33.0,2.0,0.0,0.0,0.0,0.0,4.193942708,0.0,0.0,0.0,0.0,303.0,1.0,3.0,198.0
16.0,1.0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0.0,4.110093478,0.0,0.0,0.0,0.0,73.0,1.0,1.0,9.0
53.0,0.0,33.0,20.0,20.0,3.0,1.0,0.0,0.0,0.0,4.372905595,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.0,0.0,32.0,11.0,11.0,2.0,1.0,0.0,0.0,0.0,4.24107688,0.0,0.0,0.0,0.0,45.0,1.0,1.0,275.0
14.0,1.0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,3.913977073,0.0,0.0,0.0,0.0,251.0,1.0,2.0,131.0
39.0,0.0,22.0,17.0,17.0,3.0,0.0,0.0,0.0,0.0,4.493473304,0.0,0.0,0.0,0.0,32.0,1.0,2.0,29.0
35.0,1.0,10.0,25.0,25.0,3.0,0.0,0.0,0.0,0.0,4.268719696,0.0,3.0,0.0,0.0,168.0,1.0,5.0,214.0
89.0,2.0,31.0,22.0,22.0,2.0,0.0,35.0,1.0,0.0,4.632900669,0.0,0.0,0.0,0.0,222.0,1.0,4.0,137.0
38.0,1.0,10.0,28.0,28.0,2.0,0.0,0.0,0.0,0.0,4.319560261,0.0,0.0,0.0,0.0,36.0,1.0,1.0,15.0
123.0,0.0,109.0,14.0,14.0,8.0,4.0,0.0,0.0,0.0,4.601649311,0.0,0.0,0.0,0.0,36.0,1.0,0.0,17.0
37.0,0.0,29.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,4.445131835,0.0,0.0,0.0,0.0,46.0,1.0,1.0,51.0
243.0,0.0,62.0,23.0,23.0,8.0,1.0,157.0,3.0,0.0,4.92050232,0.0,0.0,0.0,0.0,15.0,1.0,1.0,2.0
17.0,0.0,0.0,17.0,14.0,3.0,0.0,0.0,0.0,1.0,3.772055209,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
61.0,1.0,50.0,11.0,11.0,2.0,2.0,0.0,0.0,0.0,4.819244739,0.0,0.0,0.0,0.0,24.0,1.0,0.0,5.0
20.0,0.0,0.0,20.0,20.0,2.0,0.0,0.0,0.0,0.0,4.060262039,0.0,0.0,0.0,0.0,183.0,1.0,1.0,564.0
25.0,1.0,11.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,4.030639062,0.0,0.0,0.0,0.0,10.0,1.0,0.0,481.0
20.0,0.0,1.0,19.0,19.0,2.0,0.0,0.0,0.0,0.0,4.182005815,0.0,1.0,0.0,0.0,39.0,1.0,1.0,12.0
41.0,0.0,18.0,23.0,23.0,2.0,0.0,0.0,0.0,0.0,4.062891476,0.0,0.0,0.0,0.0,70.0,1.0,2.0,54.0
23.0,0.0,10.0,13.0,13.0,4.0,0.0,0.0,0.0,0.0,3.977916875,0.0,0.0,0.0,0.0,46.0,1.0,1.0,28.0
27.0,2.0,1.0,26.0,26.0,1.0,0.0,0.0,0.0,0.0,4.104302932,0.0,0.0,0.0,0.0,41.0,1.0,1.0,18.0
44.0,0.0,27.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,4.139468294,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
31.0,0.0,10.0,21.0,21.0,5.0,0.0,0.0,0.0,0.0,4.12849413,0.0,0.0,0.0,0.0,31.0,1.0,0.0,12.0
28.0,0.0,8.0,20.0,20.0,5.0,0.0,0.0,0.0,0.0,3.943842627,0.0,1.0,0.0,0.0,131.0,0.0,1.0,54.0
49.0,0.0,40.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,4.455182558,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0
23.0,2.0,1.0,22.0,22.0,1.0,0.0,0.0,0.0,0.0,4.123231429,0.0,0.0,0.0,0.0,148.0,1.0,2.0,39.0
18.0,0.0,6.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,3.78346519,0.0,0.0,0.0,0.0,46.0,2.0,3.0,44.0
32.0,0.0,13.0,19.0,19.0,4.0,0.0,0.0,0.0,0.0,4.201692924,0.0,0.0,0.0,1.0,7.0,1.0,0.0,2.0
522.0,1.0,506.0,16.0,16.0,2.0,1.0,0.0,0.0,0.0,3.814081155,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30.0,0.0,0.0,30.0,30.0,2.0,0.0,0.0,0.0,0.0,4.411891879,0.0,0.0,0.0,0.0,662.0,1.0,1.0,909.0
9.0,0.0,0.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,3.4548224,0.0,5.0,0.0,0.0,292.0,1.0,5.0,183.0
122.0,0.0,102.0,20.0,20.0,4.0,6.0,0.0,0.0,0.0,5.144234815,0.0,1.0,0.0,0.0,35.0,1.0,1.0,41.0
17.0,0.0,0.0,17.0,17.0,2.0,0.0,0.0,0.0,0.0,4.053508855,0.0,1.0,0.0,0.0,249.0,1.0,3.0,162.0
20.0,0.0,0.0,20.0,20.0,2.0,0.0,0.0,0.0,0.0,3.661932872,0.0,0.0,0.0,0.0,45.0,1.0,0.0,93.0
40.0,0.0,23.0,17.0,17.0,3.0,0.0,0.0,0.0,0.0,4.384509736,0.0,0.0,0.0,0.0,32.0,1.0,2.0,29.0
48.0,0.0,27.0,21.0,21.0,3.0,0.0,0.0,0.0,0.0,4.110626706,0.0,0.0,0.0,0.0,195.0,1.0,3.0,67.0
34.0,1.0,17.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,4.115897411,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0
89.0,1.0,13.0,34.0,34.0,3.0,0.0,41.0,1.0,0.0,4.8616376,0.0,0.0,0.0,0.0,88.0,1.0,1.0,26.0
147.0,1.0,56.0,38.0,38.0,5.0,0.0,52.0,2.0,0.0,4.739914482,0.0,0.0,0.0,0.0,27.0,1.0,1.0,8.0
49.0,0.0,41.0,8.0,8.0,2.0,1.0,0.0,0.0,0.0,4.789148672,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
36.0,0.0,10.0,26.0,26.0,3.0,0.0,0.0,0.0,0.0,4.222208068,0.0,0.0,0.0,0.0,27.0,1.0,1.0,15.0
32.0,0.0,5.0,27.0,27.0,1.0,0.0,0.0,0.0,0.0,4.179776181,0.0,1.0,0.0,0.0,53.0,1.0,2.0,5.0
43.0,2.0,9.0,34.0,34.0,2.0,0.0,0.0,0.0,0.0,4.044372821,0.0,0.0,0.0,0.0,169.0,1.0,8.0,108.0
40.0,0.0,20.0,20.0,20.0,2.0,0.0,0.0,0.0,0.0,4.355388542,0.0,0.0,0.0,0.0,25.0,1.0,0.0,27.0
74.0,0.0,55.0,19.0,19.0,4.0,3.0,0.0,0.0,0.0,4.698271152,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0
30.0,2.0,8.0,22.0,22.0,2.0,0.0,0.0,0.0,0.0,4.188331132,0.0,3.0,0.0,0.0,173.0,1.0,5.0,217.0
45.0,0.0,29.0,16.0,16.0,3.0,0.0,0.0,0.0,0.0,4.262093804,0.0,0.0,0.0,0.0,19.0,1.0,2.0,49.0
14.0,0.0,0.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,3.558518613,0.0,0.0,0.0,0.0,183.0,1.0,1.0,560.0
18.0,0.0,0.0,18.0,18.0,2.0,0.0,0.0,0.0,0.0,3.81366069,0.0,0.0,0.0,0.0,95.0,0.0,1.0,62.0
52.0,0.0,33.0,19.0,19.0,2.0,0.0,0.0,0.0,0.0,4.498766092,0.0,0.0,0.0,0.0,90.0,1.0,2.0,29.0
13.0,0.0,1.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,3.653756708,0.0,0.0,0.0,0.0,48.0,1.0,2.0,2.0
41.0,0.0,18.0,23.0,23.0,2.0,0.0,0.0,0.0,0.0,3.986978659,0.0,0.0,0.0,0.0,30.0,1.0,1.0,3.0
61.0,1.0,47.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,4.106046336,0.0,0.0,0.0,0.0,20.0,1.0,1.0,3.0
83.0,0.0,27.0,56.0,56.0,4.0,0.0,0.0,0.0,0.0,4.612151855,0.0,0.0,0.0,0.0,8.0,1.0,1.0,4.0
39.0,0.0,22.0,17.0,17.0,3.0,0.0,0.0,0.0,0.0,4.328046337,0.0,0.0,0.0,0.0,33.0,1.0,2.0,29.0
27.0,1.0,0.0,27.0,27.0,2.0,0.0,0.0,0.0,0.0,4.07967865,0.0,0.0,0.0,0.0,265.0,1.0,2.0,123.0
45.0,0.0,30.0,15.0,15.0,2.0,0.0,0.0,0.0,0.0,4.024511493,0.0,1.0,0.0,0.0,370.0,1.0,0.0,130.0
28.0,0.0,12.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,4.107156231,0.0,0.0,0.0,0.0,155.0,1.0,1.0,52.0
22.0,1.0,1.0,21.0,21.0,2.0,0.0,0.0,0.0,0.0,4.047299098,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
15.0,0.0,0.0,15.0,15.0,1.0,0.0,0.0,0.0,0.0,3.534219021,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
53.0,0.0,33.0,20.0,20.0,3.0,1.0,0.0,0.0,0.0,4.472905595,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51.0,2.0,17.0,34.0,34.0,3.0,0.0,0.0,0.0,0.0,4.275663107,0.0,0.0,0.0,0.0,41.0,1.0,1.0,16.0
34.0,0.0,1.0,33.0,33.0,2.0,0.0,0.0,0.0,0.0,3.88729164,0.0,0.0,0.0,0.0,49.0,1.0,2.0,7.0
41.0,0.0,17.0,24.0,24.0,3.0,0.0,0.0,0.0,0.0,4.391541407,0.0,0.0,0.0,0.0,41.0,1.0,1.0,16.0
26.0,0.0,1.0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,4.309101316,0.0,0.0,0.0,0.0,27.0,1.0,0.0,23.0
38.0,0.0,26.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,4.349984697,0.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0
28.0,0.0,0.0,28.0,28.0,2.0,0.0,0.0,0.0,0.0,4.011585432,0.0,0.0,0.0,0.0,12.0,1.0,0.0,36.0
38.0,1.0,10.0,28.0,28.0,2.0,0.0,0.0,0.0,0.0,4.250201919,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0
18.0,0.0,0.0,18.0,18.0,2.0,0.0,0.0,0.0,0.0,3.94346519,0.0,0.0,1.0,1.0,3.0,1.0,0.0,18.0
24.0,1.0,1.0,23.0,23.0,2.0,0.0,0.0,0.0,0.0,3.993730584,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
17.0,0.0,0.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,3.668295834,0.0,0.0,0.0,0.0,147.0,1.0,0.0,6.0
89.0,1.0,13.0,34.0,34.0,3.0,0.0,41.0,1.0,0.0,4.963890533,0.0,0.0,0.0,0.0,88.0,1.0,1.0,26.0
33.0,0.0,21.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,4.73418372,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0
17.0,0.0,0.0,17.0,14.0,3.0,0.0,0.0,0.0,1.0,3.605388542,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
57.0,0.0,43.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,4.258969969,0.0,0.0,0.0,0.0,59.0,1.0,1.0,51.0
57.0,0.0,33.0,24.0,24.0,2.0,0.0,0.0,0.0,0.0,4.470060204,0.0,1.0,1.0,1.0,41.0,1.0,1.0,62.0
16.0,2.0,0.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,3.96900163,0.0,0.0,0.0,0.0,286.0,1.0,1.0,157.0
58.0,0.0,45.0,13.0,13.0,4.0,0.0,0.0,0.0,1.0,4.816115937,0.0,0.0,0.0,0.0,60.0,1.0,1.0,18.0
117.0,0.0,104.0,13.0,13.0,4.0,0.0,0.0,0.0,0.0,4.970919634,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
62.0,4.0,10.0,52.0,52.0,3.0,0.0,0.0,0.0,0.0,4.196503943,0.0,0.0,0.0,0.0,12.0,1.0,1.0,3.0
18.0,0.0,5.0,13.0,13.0,4.0,0.0,0.0,0.0,1.0,3.54346519,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20.0,0.0,6.0,14.0,14.0,3.0,0.0,0.0,0.0,1.0,3.661932872,0.0,0.0,0.0,0.0,25.0,1.0,0.0,110.0
34.0,2.0,1.0,33.0,33.0,2.0,0.0,0.0,0.0,0.0,4.016241798,0.0,0.0,0.0,0.0,23.0,1.0,1.0,7.0
13.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,3.621928095,0.0,0.0,0.0,0.0,85.0,1.0,0.0,13.0
39.0,0.0,22.0,17.0,17.0,3.0,0.0,0.0,0.0,0.0,4.477062706,0.0,0.0,0.0,0.0,32.0,1.0,2.0,29.0
23.0,0.0,10.0,13.0,13.0,4.0,0.0,0.0,0.0,1.0,3.828072996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64.0,0.0,50.0,14.0,14.0,3.0,0.0,0.0,0.0,0.0,4.730359161,0.0,1.0,0.0,0.0,51.0,1.0,2.0,59.0
40.0,2.0,0.0,40.0,40.0,2.0,0.0,0.0,0.0,0.0,4.256300554,0.0,0.0,0.0,0.0,24.0,1.0,1.0,57.0
55.0,0.0,32.0,23.0,23.0,2.0,0.0,0.0,0.0,0.0,4.446390771,0.0,1.0,1.0,1.0,41.0,1.0,1.0,72.0
18.0,1.0,0.0,18.0,18.0,2.0,0.0,0.0,0.0,0.0,3.86346519,0.0,0.0,0.0,0.0,58.0,1.0,0.0,22.0
43.0,0.0,29.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,4.63127238,0.0,0.0,0.0,0.0,2992.0,1.0,1.0,2664.0
74.0,0.0,51.0,23.0,23.0,2.0,0.0,0.0,0.0,0.0,4.176770227,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0
47.0,0.0,12.0,12.0,12.0,2.0,0.0,6.0,0.0,0.0,4.154820317,0.0,0.0,0.0,0.0,26.0,1.0,1.0,5.0
16.0,0.0,0.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,3.675310869,0.0,0.0,0.0,0.0,304.0,1.0,3.0,75.0
32.0,1.0,10.0,22.0,22.0,2.0,0.0,0.0,0.0,0.0,4.246439345,0.0,0.0,0.0,0.0,36.0,1.0,1.0,15.0
17.0,0.0,0.0,17.0,17.0,2.0,0.0,0.0,0.0,0.0,3.636842188,0.0,0.0,0.0,0.0,59.0,1.0,0.0,36.0
25.0,2.0,1.0,24.0,24.0,2.0,0.0,0.0,0.0,0.0,3.960320255,0.0,0.0,0.0,0.0,73.0,1.0,1.0,125.0
17.0,0.0,1.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,3.855388542,0.0,0.0,0.0,0.0,41.0,1.0,1.0,16.0
31.0,0.0,14.0,17.0,17.0,2.0,0.0,0.0,0.0,0.0,4.063202513,0.0,0.0,0.0,0.0,32.0,1.0,3.0,17.0
25.0,0.0,10.0,15.0,15.0,2.0,0.0,0.0,0.0,0.0,3.929229297,0.0,0.0,0.0,0.0,36.0,1.0,1.0,15.0
16.0,0.0,0.0,16.0,16.0,3.0,0.0,0.0,0.0,0.0,3.762267391,0.0,1.0,0.0,0.0,1122.0,1.0,1.0,342.0
19.0,1.0,1.0,18.0,18.0,1.0,0.0,0.0,0.0,0.0,3.796217603,0.0,0.0,0.0,0.0,40.0,2.0,3.0,334.0
54.0,0.0,43.0,11.0,11.0,5.0,0.0,0.0,0.0,0.0,4.47182392,0.0,0.0,0.0,0.0,291.0,1.0,0.0,256.0
21.0,0.0,6.0,15.0,15.0,2.0,0.0,0.0,0.0,0.0,3.79790269,0.0,0.0,0.0,0.0,18.0,1.0,1.0,58.0
72.0,0.0,58.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,4.784625451,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
40.0,3.0,1.0,39.0,39.0,2.0,0.0,0.0,0.0,0.0,4.205991448,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11.0,0.0,0.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,3.787143961,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0
65.0,0.0,41.0,24.0,24.0,4.0,0.0,0.0,0.0,0.0,4.350717115,0.0,0.0,0.0,0.0,29.0,1.0,1.0,14.0
40.0,0.0,21.0,19.0,19.0,4.0,0.0,0.0,0.0,0.0,4.051840118,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
23.0,1.0,1.0,22.0,22.0,2.0,0.0,0.0,0.0,0.0,3.913400746,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43.0,3.0,1.0,42.0,42.0,1.0,0.0,0.0,0.0,0.0,4.072949441,0.0,0.0,0.0,0.0,41.0,1.0,1.0,16.0
49.0,0.0,20.0,29.0,29.0,4.0,0.0,0.0,0.0,0.0,4.005678976,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
14.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,3.732158891,0.0,0.0,0.0,0.0,99.0,1.0,1.0,130.0
33.0,1.0,19.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,4.222690419,0.0,3.0,0.0,0.0,168.0,1.0,5.0,214.0
42.0,0.0,15.0,27.0,27.0,3.0,0.0,0.0,0.0,0.0,4.199079571,0.0,1.0,0.0,0.0,34.0,1.0,1.0,10.0
47.0,2.0,17.0,30.0,30.0,2.0,0.0,0.0,0.0,0.0,4.146990342,0.0,0.0,0.0,0.0,41.0,1.0,1.0,16.0
18.0,1.0,1.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,4.02346519,0.0,0.0,0.0,0.0,154.0,1.0,1.0,15.0
38.0,0.0,25.0,13.0,13.0,3.0,0.0,0.0,0.0,0.0,4.188982197,0.0,1.0,0.0,0.0,34.0,1.0,0.0,71.0
165.0,0.0,28.0,11.0,11.0,6.0,3.0,125.0,1.0,0.0,5.500401983,0.0,0.0,0.0,1.0,19.0,1.0,1.0,9.0
99.0,0.0,44.0,9.0,9.0,2.0,0.0,45.0,1.0,0.0,4.850075409,0.0,1.0,0.0,0.0,35.0,1.0,1.0,30.0
23.0,0.0,0.0,23.0,23.0,2.0,0.0,0.0,0.0,0.0,4.148394346,0.0,0.0,0.0,0.0,104.0,1.0,0.0,216.0
27.0,1.0,0.0,27.0,27.0,2.0,0.0,0.0,0.0,0.0,4.278351812,0.0,0.0,0.0,0.0,200.0,1.0,2.0,122.0
24.0,1.0,1.0,23.0,23.0,1.0,0.0,0.0,0.0,0.0,4.171465262,0.0,0.0,0.0,0.0,41.0,1.0,1.0,16.0
82.0,2.0,50.0,32.0,32.0,3.0,1.0,0.0,0.0,0.0,4.749163173,0.0,1.0,0.0,0.0,53.0,1.0,2.0,5.0
21.0,0.0,7.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,3.851823226,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
47.0,4.0,1.0,46.0,46.0,2.0,0.0,0.0,0.0,0.0,4.453690048,0.0,0.0,0.0,0.0,41.0,1.0,1.0,16.0
52.0,1.0,40.0,12.0,12.0,3.0,0.0,0.0,0.0,0.0,4.349791896,0.0,0.0,0.0,0.0,51.0,1.0,0.0,85.0
69.0,2.0,21.0,31.0,31.0,2.0,2.0,16.0,0.0,0.0,4.909598314,0.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0
44.0,1.0,10.0,34.0,34.0,4.0,0.0,0.0,0.0,0.0,4.31315192,0.0,0.0,0.0,0.0,41.0,1.0,1.0,16.0
26.0,0.0,12.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,4.017917901,0.0,0.0,0.0,0.0,51.0,1.0,1.0,84.0
14.0,0.0,0.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,3.499227542,0.0,0.0,0.0,0.0,239.0,1.0,3.0,782.0
18.0,0.0,0.0,18.0,18.0,2.0,0.0,0.0,0.0,0.0,3.97366069,0.0,0.0,0.0,0.0,72.0,1.0,1.0,61.0
35.0,1.0,8.0,27.0,27.0,3.0,0.0,0.0,0.0,0.0,4.315231324,0.0,1.0,0.0,0.0,133.0,1.0,1.0,100.0
42.0,0.0,28.0,14.0,14.0,4.0,0.0,0.0,0.0,0.0,4.068819927,0.0,2.0,0.0,0.0,83.0,1.0,2.0,118.0
21.0,0.0,1.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,3.910232941,0.0,0.0,0.0,0.0,41.0,1.0,1.0,16.0
26.0,0.0,19.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,4.020926316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
35.0,0.0,10.0,25.0,25.0,3.0,0.0,0.0,0.0,0.0,4.41566147,0.0,0.0,0.0,0.0,27.0,1.0,1.0,15.0
30.0,0.0,13.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,4.093340593,0.0,0.0,0.0,0.0,29.0,1.0,1.0,2.0
45.0,1.0,15.0,30.0,30.0,2.0,0.0,0.0,0.0,0.0,4.166205361,0.0,1.0,0.0,0.0,35.0,1.0,1.0,57.0
62.0,0.0,45.0,17.0,17.0,3.0,2.0,0.0,0.0,0.0,4.863969341,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0
43.0,0.0,16.0,21.0,21.0,2.0,0.0,5.0,1.0,0.0,4.59656563,0.0,1.0,0.0,0.0,56.0,1.0,2.0,6.0
66.0,0.0,40.0,26.0,26.0,3.0,1.0,0.0,0.0,0.0,4.255926916,0.0,1.0,0.0,0.0,34.0,1.0,1.0,51.0
26.0,0.0,11.0,15.0,15.0,4.0,0.0,0.0,0.0,1.0,4.066677074,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
33.0,0.0,16.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,4.189886078,0.0,0.0,0.0,0.0,29.0,1.0,1.0,2.0
23.0,0.0,6.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,3.881727679,0.0,1.0,0.0,0.0,18.0,1.0,1.0,21.0
36.0,0.0,24.0,12.0,12.0,3.0,0.0,0.0,0.0,0.0,4.257298596,0.0,0.0,0.0,0.0,83.0,1.0,1.0,7.0
28.0,0.0,11.0,17.0,14.0,4.0,0.0,0.0,0.0,1.0,4.125871146,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23.0,0.0,6.0,17.0,17.0,2.0,0.0,0.0,0.0,0.0,3.872905595,0.0,0.0,0.0,0.0,31.0,1.0,1.0,391.0
37.0,0.0,29.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,4.445131835,0.0,0.0,0.0,0.0,46.0,1.0,1.0,51.0
32.0,0.0,16.0,16.0,16.0,3.0,0.0,0.0,0.0,0.0,4.189123052,0.0,0.0,0.0,0.0,61.0,1.0,1.0,22.0
18.0,0.0,0.0,18.0,18.0,3.0,0.0,0.0,0.0,0.0,3.738149333,0.0,2.0,0.0,0.0,178.0,1.0,1.0,76.0
520.0,1.0,504.0,16.0,16.0,2.0,1.0,0.0,0.0,0.0,3.806991262,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20.0,1.0,1.0,19.0,19.0,2.0,0.0,0.0,0.0,0.0,3.958229169,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
18.0,0.0,4.0,14.0,14.0,3.0,0.0,0.0,0.0,0.0,3.78346519,0.0,0.0,0.0,0.0,19.0,1.0,1.0,35.0
20.0,0.0,0.0,20.0,20.0,2.0,0.0,0.0,0.0,0.0,4.060262039,0.0,0.0,0.0,0.0,52.0,1.0,1.0,81.0
82.0,0.0,61.0,21.0,21.0,2.0,0.0,0.0,0.0,0.0,4.109741816,0.0,0.0,0.0,0.0,22.0,1.0,2.0,19.0
25.0,0.0,11.0,14.0,14.0,3.0,0.0,0.0,0.0,1.0,4.128928032,0.0,0.0,0.0,0.0,90.0,1.0,2.0,25.0
37.0,0.0,24.0,13.0,13.0,2.0,0.0,0.0,0.0,0.0,4.075480414,0.0,0.0,0.0,0.0,45.0,1.0,1.0,54.0
32.0,1.0,18.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,4.468112399,0.0,0.0,0.0,0.0,35.0,1.0,1.0,131.0
175.0,0.0,62.0,14.0,14.0,3.0,0.0,98.0,2.0,0.0,5.275837038,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24.0,0.0,7.0,17.0,17.0,2.0,0.0,0.0,0.0,0.0,3.897587036,0.0,0.0,0.0,0.0,17.0,1.0,0.0,16.0
39.0,0.0,17.0,22.0,22.0,4.0,0.0,0.0,0.0,0.0,4.085758359,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
101.0,0.0,1.0,100.0,100.0,3.0,0.0,0.0,0.0,0.0,4.22942496,0.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0
49.0,0.0,16.0,33.0,33.0,4.0,0.0,0.0,0.0,0.0,4.551845277,0.0,1.0,0.0,0.0,22.0,0.0,0.0,4.0
89.0,1.0,13.0,34.0,34.0,3.0,0.0,41.0,1.0,0.0,4.984287991,0.0,0.0,0.0,0.0,88.0,1.0,1.0,26.0
32.0,0.0,12.0,20.0,20.0,4.0,0.0,0.0,0.0,0.0,4.182336834,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60.0,0.0,38.0,22.0,22.0,2.0,0.0,0.0,0.0,0.0,4.267630401,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0
53.0,0.0,33.0,20.0,20.0,4.0,0.0,0.0,0.0,0.0,4.642318879,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0
