time,PM10,PM25,CO,NO2,기온(°C),일사(MJ/m2),습도(%),강수량(mm),풍속(m/s),month,day,hour,PM10_Lag1
2021-01-05 00:00:00,47.0,25.0,0.5,0.023,-2.1,0.12400000000000001,73,0.0,2.4,1,5,0,20.0
2021-01-05 03:00:00,43.0,28.0,0.6,0.026,-2.5,0.17600000000000002,76,0.0,1.0,1,5,3,20.0
2021-01-05 06:00:00,34.0,20.0,0.4,0.014,-4.2,0.228,80,0.0,3.7,1,5,6,20.0
2021-01-05 09:00:00,36.0,19.0,0.5,0.021,-5.8,0.28,67,0.0,3.3,1,5,9,20.0
2021-01-06 21:00:00,25.0,16.0,0.6,0.034,-5.1,0.3066666666666667,89,2.2,2.0,1,6,21,20.0
2021-01-07 00:00:00,60.0,17.0,0.5,0.007,-8.3,0.3333333333333333,72,0.1,6.4,1,7,0,20.0
2021-01-12 15:00:00,60.0,45.0,1.0,0.048,-0.8,0.36,74,0.1,2.4,1,12,15,20.0
2021-01-12 18:00:00,79.0,67.0,1.3,0.064,-0.8,0.01,91,2.3,1.6,1,12,18,20.0
2021-01-12 21:00:00,85.0,67.0,1.4,0.067,-0.9,0.05,92,0.2,0.2,1,12,21,20.0
2021-01-13 00:00:00,77.0,54.0,1.0,0.053,-2.0,0.09,93,0.0,1.9,1,13,0,20.0
2021-01-13 03:00:00,78.0,55.0,1.1,0.052,-2.4,0.13,94,0.0,1.7,1,13,3,20.0
2021-01-15 15:00:00,80.0,34.0,0.6,0.033,9.2,0.17,82,0.2,5.6,1,15,15,20.0
2021-01-17 18:00:00,19.0,11.0,0.4,0.018,-2.6,0.05,58,0.0,3.2,1,17,18,20.0
2021-01-17 21:00:00,23.0,15.0,0.4,0.024,-2.8,0.134,74,0.0,1.8,1,17,21,20.0
2021-01-18 00:00:00,20.0,12.0,0.4,0.02,-3.0,0.21799999999999997,84,0.0,2.0,1,18,0,20.0
2021-01-18 03:00:00,24.0,11.0,0.5,0.023,-3.4,0.302,76,0.0,0.5,1,18,3,20.0
2021-01-18 06:00:00,27.0,13.0,0.5,0.033,-3.7,0.38599999999999995,83,0.0,1.9,1,18,6,20.0
2021-01-18 12:00:00,70.0,44.0,0.7,0.032,-0.6,0.47,88,0.3,2.2,1,18,12,20.0
2021-01-18 15:00:00,43.0,17.0,0.4,0.011,-0.4,0.64,56,0.0,6.0,1,18,15,20.0
2021-01-21 15:00:00,50.0,33.0,0.9,0.055,6.1,0.27,67,0.6,2.1,1,21,15,20.0
2021-01-21 18:00:00,41.0,26.0,1.0,0.056,4.6,0.02,91,4.0,2.1,1,21,18,20.0
2021-01-21 21:00:00,35.0,24.0,0.7,0.049,4.8,0.027999999999999997,95,3.7,2.1,1,21,21,20.0
2021-01-22 00:00:00,36.0,27.0,0.8,0.051,4.9,0.036,96,0.9,1.9,1,22,0,20.0
2021-01-22 03:00:00,32.0,23.0,0.8,0.046,5.0,0.044,93,0.0,1.4,1,22,3,20.0
2021-01-22 06:00:00,86.0,69.0,0.9,0.046,5.0,0.05199999999999999,95,0.1,1.2,1,22,6,20.0
2021-01-26 09:00:00,55.0,39.0,0.9,0.051,5.9,0.06,73,0.0,0.6,1,26,9,20.0
2021-01-26 12:00:00,28.0,20.0,0.7,0.045,6.1,0.25,88,1.3,0.6,1,26,12,20.0
2021-01-26 15:00:00,68.0,50.0,0.7,0.048,6.9,0.27,86,0.0,2.9,1,26,15,20.0
2021-01-26 18:00:00,30.0,21.0,0.7,0.018,5.2,0.01,94,0.4,3.2,1,26,18,20.0
2021-01-28 12:00:00,34.0,21.0,0.5,0.012,0.8,0.35,82,2.0,4.2,1,28,12,20.0
2021-01-30 06:00:00,34.0,14.0,0.5,0.034,-5.7,0.19499999999999998,53,0.0,3.8,1,30,6,20.0
2021-01-30 09:00:00,48.0,18.0,0.6,0.037,-5.6,0.04,72,0.2,3.7,1,30,9,20.0
2021-01-30 12:00:00,55.0,28.0,0.7,0.038,-0.8,1.68,73,0.3,1.8,1,30,12,20.0
2021-02-01 03:00:00,50.0,24.0,1.0,0.056,5.7,1.285,78,0.7,1.7,2,1,3,20.0
2021-02-02 21:00:00,32.0,16.0,0.4,0.011,-5.3,0.89,58,0.0,3.3,2,2,21,20.0
2021-02-03 00:00:00,25.0,17.0,0.4,0.008,-7.7,0.4950000000000001,55,0.0,2.9,2,3,0,20.0
2021-02-03 18:00:00,35.0,21.0,0.5,0.027,0.3,0.1,70,0.0,3.2,2,3,18,20.0
2021-02-03 21:00:00,36.0,23.0,0.5,0.024,0.2,0.09285714285714286,76,0.0,1.1,2,3,21,32.0
2021-02-04 00:00:00,30.0,20.0,0.5,0.017,0.0,0.08571428571428572,96,3.4,2.5,2,4,0,25.0
2021-02-04 03:00:00,39.0,27.0,0.5,0.009,-2.8,0.07857142857142857,70,0.1,2.1,2,4,3,20.0
2021-02-14 06:00:00,75.0,57.0,1.0,0.061,6.7,0.07142857142857142,51,0.0,1.0,2,14,6,20.0
2021-02-15 03:00:00,122.0,93.0,0.8,0.041,7.0,0.06428571428571428,64,0.0,2.4,2,15,3,20.0
2021-02-15 06:00:00,88.0,61.0,0.7,0.035,5.3,0.05714285714285715,89,1.2,2.1,2,15,6,75.0
2021-02-15 09:00:00,37.0,28.0,0.8,0.025,3.4,0.05,91,0.2,4.0,2,15,9,20.0
2021-02-16 09:00:00,27.0,15.0,0.4,0.023,-5.2,0.3,59,0.0,3.7,2,16,9,37.0
2021-02-16 12:00:00,25.0,15.5,0.4,0.0215,-5.0,0.54,81,0.8,2.7,2,16,12,20.0
2021-02-16 15:00:00,23.0,16.0,0.4,0.02,-3.2,1.15,62,0.7,2.5,2,16,15,20.0
2021-02-17 21:00:00,36.0,13.0,0.4,0.012,-9.1,0.875,53,0.0,5.0,2,17,21,20.0
