ID,Activity
0,4
1,4
2,0
3,5
4,4
5,0
6,5
7,4
8,4
9,1
10,4
11,4
12,3
13,4
14,5
15,3
16,1
17,0
18,0
19,1
20,1
21,5
22,1
23,0
24,1
25,2
26,3
27,4
28,4
29,5
30,5
31,1
32,0
33,4
34,4
35,2
36,5
37,2
38,2
39,1
40,4
41,0
42,0
43,1
44,5
45,5
46,4
47,3
48,3
49,1
50,3
51,2
52,1
53,2
54,0
55,3
56,3
57,1
58,2
59,0
60,4
61,5
62,5
63,0
64,3
65,3
66,3
67,0
68,1
69,0
70,3
71,4
72,3
73,3
74,0
75,2
76,3
77,2
78,1
79,3
80,1
81,0
82,3
83,4
84,2
85,5
86,3
87,4
88,3
89,0
90,2
91,1
92,4
93,5
94,4
95,2
96,0
97,0
98,3
99,4
100,4
101,2
102,5
103,0
104,1
105,1
106,4
107,0
108,4
109,3
110,1
111,0
112,5
113,3
114,0
115,2
116,3
117,2
118,5
119,3
120,1
121,4
122,5
123,2
124,1
125,0
126,3
127,4
128,0
129,2
130,3
131,2
132,3
133,1
134,1
135,3
136,1
137,3
138,0
139,4
140,0
141,0
142,2
143,5
144,2
145,1
146,0
147,1
148,4
149,0
150,1
151,1
152,0
153,1
154,1
155,1
156,0
157,0
158,5
159,2
160,4
161,3
162,0
163,5
164,3
165,5
166,0
167,1
168,0
169,1
170,3
171,4
172,1
173,1
174,4
175,4
176,1
177,3
178,4
179,4
180,4
181,3
182,3
183,1
184,4
185,1
186,0
187,4
188,4
189,0
190,0
191,4
192,4
193,1
194,2
195,2
196,4
197,2
198,4
199,1
200,4
201,5
202,0
203,3
204,4
205,2
206,3
207,5
208,4
209,2
210,3
211,4
212,0
213,5
214,4
215,4
216,4
217,1
218,2
219,2
220,4
221,5
222,0
223,2
224,4
225,4
226,4
227,5
228,0
229,1
230,3
231,4
232,0
233,0
234,3
235,3
236,2
237,4
238,2
239,2
240,4
241,2
242,1
243,3
244,3
245,4
246,1
247,4
248,0
249,4
250,3
251,3
252,3
253,5
254,5
255,0
256,4
257,3
258,0
259,0
260,3
261,3
262,3
263,2
264,3
265,4
266,4
267,4
268,0
269,1
270,3
271,4
272,1
273,1
274,0
275,3
276,1
277,1
278,3
279,1
280,5
281,5
282,5
283,5
284,2
285,3
286,1
287,5
288,3
289,2
290,3
291,1
292,0
293,0
294,4
295,3
296,3
297,5
298,3
299,1
300,4
301,3
302,0
303,4
304,4
305,4
306,0
307,0
308,2
309,3
310,4
311,4
312,4
313,3
314,5
315,5
316,3
317,0
318,4
319,0
320,1
321,3
322,4
323,4
324,1
325,4
326,5
327,2
328,0
329,4
330,4
331,2
332,0
333,4
334,0
335,0
336,3
337,0
338,3
339,4
340,3
341,1
342,3
343,0
344,4
345,3
346,3
347,4
348,5
349,4
350,0
351,1
352,4
353,4
354,4
355,3
356,4
357,1
358,0
359,4
360,0
361,4
362,3
363,4
364,4
365,4
366,0
367,3
368,4
369,3
370,3
371,0
372,3
373,4
374,2
375,2
376,3
377,4
378,3
379,2
380,2
381,1
382,0
383,0
384,3
385,4
386,4
387,0
388,2
389,0
390,3
391,2
392,1
393,4
394,0
395,4
396,0
397,5
398,1
399,4
400,0
401,0
402,1
403,2
404,0
405,3
406,3
407,0
408,2
409,5
410,0
411,4
412,2
413,4
414,3
415,3
416,1
417,2
418,5
419,0
420,2
421,5
422,0
423,3
424,5
425,2
426,2
427,4
428,4
429,4
430,3
431,0
432,2
433,0
434,1
435,5
436,3
437,0
438,1
439,1
440,4
441,4
442,1
443,4
444,2
445,0
446,4
447,4
448,1
449,4
450,4
451,5
452,1
453,3
454,4
455,5
456,3
457,3
458,3
459,3
460,3
461,4
462,0
463,0
464,0
465,3
466,4
467,2
468,1
469,4
470,4
471,0
472,2
473,0
474,3
475,3
476,3
477,3
478,3
479,3
480,2
481,1
482,4
483,4
484,5
485,0
486,4
487,0
488,3
489,5
490,3
491,4
492,4
493,4
494,0
495,4
496,3
497,2
498,0
499,2
500,4
501,4
502,5
503,4
504,2
505,5
506,3
507,5
508,4
509,3
510,3
511,0
512,4
513,3
514,4
515,3
516,4
517,5
518,5
519,4
520,4
521,2
522,2
523,1
524,1
525,4
526,3
527,3
528,4
529,4
530,4
531,1
532,3
533,1
534,0
535,4
536,1
537,4
538,2
539,4
540,5
541,2
542,4
543,3
544,3
545,3
546,3
547,1
548,4
549,1
550,0
551,3
552,2
553,3
554,3
555,1
556,4
557,3
558,1
559,1
560,5
561,1
562,4
563,4
564,1
565,3
566,5
567,2
568,4
569,5
570,3
571,3
572,2
573,3
574,4
575,5
576,4
577,2
578,3
579,4
580,1
581,0
582,0
583,2
584,1
585,0
586,2
587,3
588,4
589,4
590,5
591,3
592,3
593,0
594,1
595,4
596,3
597,4
598,5
599,3
600,4
601,5
602,4
603,5
604,0
605,5
606,3
607,0
608,4
609,2
610,3
611,0
612,1
613,5
614,3
615,1
616,1
617,3
618,1
619,2
620,4
621,4
622,0
623,0
624,4
625,2
626,0
627,4
628,4
629,1
630,1
631,1
632,5
633,0
634,2
635,0
636,3
637,4
638,3
639,3
640,3
641,4
642,4
643,4
644,1
645,4
646,1
647,2
648,4
649,3
650,2
651,2
652,3
653,5
654,5
655,3
656,3
657,3
658,4
659,3
660,2
661,3
662,0
663,2
664,0
665,1
666,5
667,3
668,3
669,3
670,0
671,3
672,5
673,4
674,2
675,4
676,0
677,5
678,4
679,2
680,2
681,4
682,0
683,3
684,5
685,0
686,2
687,3
688,2
689,5
690,0
691,1
692,0
693,1
694,3
695,5
696,4
697,1
698,3
699,4
700,2
701,1
702,3
703,3
704,0
705,0
706,3
707,4
708,5
709,3
710,3
711,4
712,3
713,1
714,0
715,3
716,3
717,0
718,0
719,2
720,4
721,0
722,4
723,4
724,3
725,1
726,1
727,1
728,1
729,4
730,4
731,1
732,0
733,3
734,1
735,0
736,1
737,3
738,1
739,4
740,5
741,3
742,4
743,2
744,4
745,4
746,0
747,0
748,4
749,5
750,5
751,5
752,2
753,2
754,1
755,2
756,3
757,0
758,4
759,5
760,2
761,4
762,3
763,4
764,2
765,3
766,4
767,0
768,0
769,4
770,1
771,3
772,1
773,4
774,2
775,4
776,5
777,0
778,5
779,1
780,0
781,4
782,5
783,4
784,0
785,4
786,4
787,0
788,2
789,4
790,4
791,3
792,3
793,4
794,4
795,3
796,4
797,4
798,0
799,2
800,5
801,5
802,0
803,1
804,2
805,4
806,3
807,3
808,3
809,4
810,4
811,0
812,4
813,4
814,4
815,3
816,4
817,2
818,5
819,4
820,2
821,1
822,0
823,4
824,1
825,4
826,4
827,3
828,3
829,0
830,4
831,2
832,4
833,4
834,5
835,5
836,3
837,2
838,0
839,4
840,4
841,1
842,4
843,5
844,2
845,0
846,1
847,2
848,4
849,3
850,1
851,3
852,5
853,2
854,5
855,3
856,4
857,0
858,4
859,1
860,2
861,3
862,2
863,4
864,3
865,4
866,3
867,2
868,3
869,1
870,4
871,2
872,1
873,5
874,1
875,2
876,1
877,5
878,4
879,3
880,5
881,3
882,5
883,4
884,4
885,5
886,4
887,1
888,2
889,2
890,5
891,1
892,4
893,4
894,4
895,0
896,3
897,2
898,0
899,4
900,4
901,5
902,2
903,2
904,0
905,3
906,2
907,3
908,3
909,1
910,4
911,5
912,0
913,2
914,3
915,4
916,2
917,2
918,1
919,0
920,3
921,4
922,2
923,4
924,2
925,0
926,4
927,3
928,4
929,1
930,0
931,0
932,3
933,0
934,2
935,5
936,2
937,1
938,3
939,3
940,4
941,0
942,5
943,4
944,0
945,0
946,1
947,4
948,3
949,1
950,5
951,5
952,3
953,0
954,4
955,4
956,0
957,2
958,1
959,0
960,4
961,3
962,4
963,5
964,4
965,3
966,5
967,3
968,0
969,5
970,4
971,3
972,5
973,3
974,2
975,1
976,0
977,5
978,3
979,4
980,0
981,0
982,2
983,4
984,4
985,4
986,0
987,2
988,3
989,0
990,0
991,2
992,3
993,0
994,4
995,4
996,3
997,3
998,4
999,2
1000,4
1001,3
1002,3
1003,0
1004,1
1005,3
1006,4
1007,2
1008,0
1009,4
1010,1
1011,3
1012,0
1013,3
1014,2
1015,0
1016,1
1017,0
1018,1
1019,2
1020,2
1021,4
1022,3
1023,5
1024,4
1025,1
1026,1
1027,3
1028,3
1029,3
1030,5
1031,2
1032,4
1033,3
1034,4
1035,3
1036,5
1037,0
1038,0
1039,3
1040,4
1041,3
1042,5
1043,3
1044,4
1045,0
1046,1
1047,1
1048,1
1049,3
1050,0
1051,3
1052,3
1053,1
1054,1
1055,0
1056,4
1057,0
1058,4
1059,2
1060,4
1061,0
1062,2
1063,4
1064,1
1065,0
1066,1
1067,0
1068,5
1069,3
1070,2
1071,4
1072,2
1073,4
1074,1
1075,5
1076,3
1077,4
1078,0
1079,2
1080,1
1081,2
1082,0
1083,1
1084,4
1085,4
1086,3
1087,3
1088,4
1089,5
1090,3
1091,4
1092,4
1093,4
1094,1
1095,1
1096,3
1097,0
1098,5
1099,3
1100,3
1101,4
1102,0
1103,3
1104,3
1105,4
1106,1
1107,4
1108,3
1109,1
1110,3
1111,1
1112,2
1113,4
1114,0
1115,1
1116,4
1117,3
1118,0
1119,4
1120,3
1121,1
1122,1
1123,0
1124,3
1125,4
1126,3
1127,0
1128,4
1129,0
1130,1
1131,3
1132,4
1133,4
1134,1
1135,3
1136,4
1137,1
1138,4
1139,2
1140,5
1141,0
1142,4
1143,3
1144,1
1145,1
1146,1
1147,4
1148,1
1149,4
1150,3
1151,2
1152,5
1153,4
1154,0
1155,0
1156,2
1157,2
1158,3
1159,4
1160,3
1161,1
1162,4
1163,3
1164,3
1165,4
1166,3
1167,4
1168,4
1169,4
1170,4
1171,4
1172,3
1173,2
1174,5
1175,2
1176,2
1177,1
1178,4
1179,4
1180,1
1181,5
1182,4
1183,1
1184,4
1185,4
1186,4
1187,3
1188,1
1189,0
1190,4
1191,3
1192,1
1193,4
1194,1
1195,3
1196,3
1197,2
1198,1
1199,2
1200,3
1201,1
1202,3
1203,0
1204,5
1205,4
1206,0
1207,3
1208,5
1209,0
1210,5
1211,3
1212,4
1213,4
1214,5
1215,2
1216,2
1217,3
1218,4
1219,2
1220,4
1221,0
1222,3
1223,1
1224,4
1225,2
1226,1
1227,4
